name,company_number,jurisdiction_code,search_company_type,search_company_name,search_company_jurisdiction_code,search_company_country_code,search_company_company_number,search_company_country_name
TATA CONSULTANCY SERVICES LIMITED,13619-112,pr,controlling_entity,TATA CONSULTANCY SERVICES LIMITED,in,IN,L22210MH1995PLC084781,India
BRISTOL-MYERS SQUIBB MANUFACTURING COMPANY UNLIMITED COMPANY,11587-112,pr,controlling_entity,BRISTOL-MYERS SQUIBB MANUFACTURING COMPANY UNLIMITED COMPANY,ie,IE,324960,Ireland
ROYAL CARIBBEAN CRUISES LTD.,13754-112,pr,controlling_entity,ROYAL CARIBBEAN CRUISES LTD.,lr,LR,,Liberia
CARGOLUX AIRLINES INTERNATIONAL S.A.,15785-112,pr,controlling_entity,Cargolux Airlines International S.A.,lu,LU,B8916,Luxembourg
KAMBI MALTA LIMITED,500628-113,pr,controlling_entity,KAMBI MALTA LIMITED,mt,MT,C49777,Malta
PEQUEÑO CAESARMEX SAPI DE CV LLC,442934-1513,pr,controlling_entity,PEQUEÑO CAESARMEX SAPI DE CV LLC,mx,MX,,Mexico
MOOR NATIVE LIVING INC.,412418-123,pr,controlling_entity,MOOR NATIVE LIVING INC.,ma,MA,,Morocco
ANTHONY VEDER INVESTERINGS MAATSCHAPPIJ B.V. LLC,431302-1513,pr,controlling_entity,Anthony Veder Investerings Maatschappij B.V.,nl,NL,24104950,"Netherlands, Kingdom of the"
FOUR BELLS RESOURCES INC.,14678-112,pr,controlling_entity,FOUR BELLS RESOURCES INC.,pa,PA,659300,Panama
TATA CONSULTANCY SERVICES (PHILIPPINES) INC.,15702-112,pr,controlling_entity,TATA CONSULTANCY SERVICES (PHILIPPINES) INC.,ph,PH,,Philippines
ACCENTURE SERVICES SP.Z.O.O. LLC,406723-1513,pr,controlling_entity,ACCENTURE SERVICES SP.Z.O.O. LLC,pl,PL,,Poland
"EFACEC ENERGIA, MAQUINAS E EQUIPAMENTOS ELECTRICOS SA",13167-112,pr,controlling_entity,"EFACEC ENERGIA, MAQUINAS E EQUIPAMENTOS ELECTRICOS SA",pt,PT,,Portugal
VENTURA CORPORATION LIMITED,11338-112,pr,home_company,VENTURA CORPORATION LIMITED,pr,PR,11338-112,Puerto Rico
WENDY'S SINGAPORE PTE. LTD.,15787-112,pr,controlling_entity,WENDY'S SINGAPORE PTE. LTD.,sg,SG,201117216G,Singapore
IBERIA LINEAS AEREAS DE ESPAÑA SOCIEDAD ANONIMA OPERADORA,15119-112,pr,controlling_entity,IBERIA LINEAS AEREAS DE ESPAÑA SOCIEDAD ANONIMA OPERADORA,es,ES,85850394,Spain
"EDWARDS LIFESCIENCES TECHNOLOGY SARL, LLC",5-1533,pr,controlling_entity,Edwards Lifesciences Technology Sàrl,ch,CH,823769,Switzerland
"TÜRK HAVA YOLLARI ANONIM ORTAKLIĞI D/B/A TURKISH AIRLINES, INC.",470211-113,pr,controlling_entity,"TÜRK HAVA YOLLARI ANONIM ORTAKLIĞI D/B/A TURKISH AIRLINES, INC.",tr,TR,,Türkiye
"INTERCARIBBEAN AIRWAYS, LTD.",15778-112,pr,controlling_entity,"INTERCARIBBEAN AIRWAYS, LTD.",tc,TC,,Turks and Caicos Islands
FENIX INTERNATIONAL L.L.C.,503325-1513,pr,controlling_entity,FENIX INTERNATIONAL L.L.C.,gb,GB,,United Kingdom of Great Britain and Northern Ireland
"FOOT LOCKER SPECIALTY, INC.",996-112,pr,controlling_entity,"FOOT LOCKER SPECIALTY, INC.",us_ny,US,30252,United States of America
"IGLESIA CRISTIANA FILADELFIA DE JESUCRISTO, INC.",316391-123,pr,controlling_entity,"IGLESIA CRISTIANA FILADELFIA DE JESUCRISTO, INC.",um,UM,,United States Minor Outlying Islands
"AEROTECNICA, S.A. CORPORACIÓN",476414-113,pr,controlling_entity,"AEROTECNICA, S.A. CORPORACIÓN",ve,VE,,"Venezuela, Bolivarian Republic of"
AI(PUERTO RICO)PTY LTD,13693-112,pr,controlling_entity,AI (PUERTO RICO) PTY LTD,au,AU,117590806,Australia
SITOS CARIBBEAN CORP.,450564-113,pr,controlling_entity,SITOS CARIBBEAN CORP.,bs,BS,,Bahamas
TAW IRREVOCABLE TRUST CAPITAL CGLM,434205-513,pr,controlling_entity,TAW IRREVOCABLE TRUST CAPITAL CGLM,bb,BB,,Barbados
INTERNATIONAL BETTING INTEGRITY ASSOCIATION INC.,483248-123,pr,controlling_entity,International Betting Integrity Association,be,BE,0899815946,Belgium
"FMC AGRICULTURAL CARIBE INDUSTRIES, LTD.",10344-112,pr,controlling_entity,"DuPont Agricultural Caribe Industries, Ltd.",bm,BM,24105,Bermuda
DEIGHTON ASSOCIATES LTD.,15796-112,pr,controlling_entity,Deighton Associates Ltd.,ca,CA,2041588,Canada
"FENWAL INTERNATIONAL, INC.",13917-112,pr,controlling_entity,"FENWAL INTERNATIONAL, INC.",ky,KY,,Cayman Islands
TECNOLOGIA DE OFICINA INC.,489810-113,pr,controlling_entity,TECHNOLOGIA DE OFICINA INC.,co,CO,,Colombia
HOLIDAY AIR S.A. CORPORATION,442921-113,pr,controlling_entity,HOLIDAY AIR S.A. CORPORATION,cr,CR,,Costa Rica
"KUKY SILVERIO INDUSTRIAL, S.R.L.",511927-812,pr,controlling_entity,"KUKY SILVERIO INDUSTRIAL, S.R.L.",do,DO,,Dominican Republic
SAP PUERTO RICO GMBH LLC,767-1532,pr,controlling_entity,SAP PUERTO RICO GMBH LLC,de,DE,,Germany
ACCENTURE OPERATIONS SERVICES PRIVATE LIMITED INC.,476180-113,pr,controlling_entity,ACCENTURE OPERATIONS SERVICES PRIVATE LIMITED INC.,in,IN,,India
BARD SHANNON LTD.,10929-112,pr,controlling_entity,BARD SHANNON LIMITED,ie,IE,101619,Ireland
"GOLDBROOK HOLDINGS LIMITED, LLC",434592-1513,pr,controlling_entity,GOLDBROOK HOLDINGS LIMITED,mt,MT,C73282,Malta
EXPORTADORA DE CAFE CALIFORNIA S.A DE C.V. CORPORACIÓN,362084-113,pr,controlling_entity,EXPORTADORA DE CAFE CALIFORNIA S.A DE C.V. CORPORACIÓN,mx,MX,,Mexico
PALL NETHERLANDS B.V.,10685-112,pr,controlling_entity,Pall Netherlands B.V.,nl,NL,33287181,"Netherlands, Kingdom of the"
"COMPAÑIA DE INVERSIONES INCA, S.A.",14441-112,pr,controlling_entity,"COMPAÑIA DE INVERSIONES INCA, S.A.",pa,PA,533034,Panama
ACCENTURE DELIVERY POLAND SP. Z.O.O LLC,406554-1513,pr,controlling_entity,ACCENTURE DELIVERY POLAND SP. Z.O.O LLC,pl,PL,,Poland
NATURALIA LLC,409160-1513,pr,controlling_entity,NATURALIA LLC,es,ES,,Spain
BAXTER HEALTHCARE SA,13678-112,pr,controlling_entity,Baxter Healthcare SA,ch,CH,509184,Switzerland
SOL PUERTO RICO LIMITED,335-112,pr,controlling_entity,SOL PUERTO RICO LIMITED,gb,GB,00174144,United Kingdom of Great Britain and Northern Ireland
"MESIROW INSURANCE SERVICES, INC.",9862-112,pr,controlling_entity,"MESIROW INSURANCE SERVICES, INC.",us_il,US,CORP_54187254,United States of America
LONDALE QUINTAE STRICKLING TRUST,502574-513,pr,controlling_entity,LONDALE QUINTAE STRICKLING TRUST,um,UM,,United States Minor Outlying Islands
"INVERSIONES POSHER, C.A. CORPORACIÓN",373596-113,pr,controlling_entity,"INVERSIONES POSHER, C.A. CORPORACIÓN",ve,VE,,"Venezuela, Bolivarian Republic of"
"LIME RESIDENTIAL, LTD.",15790-112,pr,controlling_entity,"Lime Residential, Ltd.",bs,BS,170217B,Bahamas
THE CHILDREN'S PLACE (BARBADOS) INC.,12871-112,pr,controlling_entity,TIMELINES,bb,BB,22948,Barbados
ABBVIE BIOTECHNOLOGY LTD,12119-112,pr,controlling_entity,AbbVie Biotechnology Ltd,bm,BM,31186,Bermuda
"MONTREAL SAJO, INC",13762-112,pr,controlling_entity,"MONTREAL SAJO, INC",ca,CA,,Canada
"LILLY DEL CARIBE, INC.",10137-112,pr,controlling_entity,"LILLY DEL CARIBE, INC.",ky,KY,,Cayman Islands
AEROVÍAS DEL CONTINENTE AMERICANO AVIANCA S.A. CORPORACIÓN,327885-113,pr,controlling_entity,AEROVÍAS DEL CONTINENTE AMERICANO AVIANCA S.A. CORPORACIÓN,co,CO,,Colombia
INGENIERÍA ESTRELLA LLC,418870-1513,pr,controlling_entity,INGENIERIA ESTRELLA,do,DO,357652,Dominican Republic
INFOSYS BPM LIMITED,15739-112,pr,controlling_entity,INFOSYS BPM LIMITED,in,IN,U72200KA2002PLC030310,India
GRUPO RUZ SA DE CV,15033-112,pr,controlling_entity,GRUPO RUZ SA DE CV,mx,MX,,Mexico
"HP INTERNATIONAL TRADING B.V. (PUERTO RICO BRANCH), LLC",348095-1513,pr,controlling_entity,"HP INTERNATIONAL TRADING B.V. (PUERTO RICO BRANCH), LLC",nl,NL,,"Netherlands, Kingdom of the"
"ECO-MED INTERNATIONAL,S.A.",12378-112,pr,controlling_entity,"ECO-MED INTERNATIONAL,S.A.",pa,PA,,Panama
"FUNDACION MAPFRE / FUNDACION CULTURAL PRIVADA, CORPORATION",323825-123,pr,controlling_entity,"FUNDACION MAPFRE / FUNDACION CULTURAL PRIVADA, CORPORATION",es,ES,,Spain
ELI LILLY EXPORT S.A.,7971-112,pr,controlling_entity,Eli Lilly Export SA,ch,CH,51379,Switzerland
DRIVEN FILM PRODUCTIONS LIMITED CORP.,395100-113,pr,controlling_entity,DRIVEN FILM PRODUCTIONS LIMITED,gb,GB,09979672,United Kingdom of Great Britain and Northern Ireland
WALDORF RISK SOLUTIONS LLC,980-1532,pr,controlling_entity,"WALDORF RISK SOLUTIONS, LLC",us_ny,US,2719683,United States of America
KABIR ELOHIM ISREAL- TRUST,501560-513,pr,controlling_entity,KABIR ELOHIM ISREAL- TRUST,um,UM,,United States Minor Outlying Islands
"LIME HOMES, LTD.",15775-112,pr,controlling_entity,"Lime Homes, Ltd.",bs,BS,169588B,Bahamas
"CELANESE MICROCIRCUITS INDUSTRIES, LTD.",10345-112,pr,controlling_entity,"DuPont Electronics Microcircuits Industries, Ltd.",bm,BM,24106,Bermuda
RS TECHNOLOGIES INC.,461637-113,pr,controlling_entity,RS TECHNOLOGIES INC.,ca,CA,,Canada
AEO PR HOLDING INCORPORADO,439547-113,pr,controlling_entity,AEO PR HOLDING INCORPORADO,ky,KY,,Cayman Islands
BIOAPI S.A.S.,383525-113,pr,controlling_entity,BIOGEN S.A.S. CORP.,co,CO,,Colombia
"CARTONES DEL CARIBE, LLC",326467-1513,pr,controlling_entity,CARTONES DEL CARIBE,do,DO,58770,Dominican Republic
OCWEN FINANCIAL SOLUTIONS PRIVATE LIMITED,13476-112,pr,controlling_entity,OCWEN FINANCIAL SOLUTIONS PRIVATE LIMITED,in,IN,U67190KA2000PTC027095,India
CONDUCTORES MONTERREY SA DE CV,12581-112,pr,controlling_entity,CONDUCTORES MONTERREY S.A. DE C.V. / CONDUCTORES MONTERREY,mx,MX,2404017,Mexico
DS REP B.V. LLC,1-1533,pr,controlling_entity,DS REP B.V.,nl,NL,37128958,"Netherlands, Kingdom of the"
"MCLARENS MEXICO OVERSEAS, S.A. CORPORATION",402737-113,pr,controlling_entity,"MCLARENS MEXICO OVERSEAS, S.A. CORPORATION",pa,PA,,Panama
FERROVIAL CONSTRUCCIÓN S.A.,11161-112,pr,controlling_entity,FERROVIAL AGROMAN SA,es,ES,28019206,Spain
MSD INTERNATIONAL GMBH (PUERTO RICO BRANCH) LLC,12-1533,pr,controlling_entity,MSD INTERNATIONAL GMBH (PUERTO RICO BRANCH) LLC,ch,CH,,Switzerland
APR ENERGY HOLDINGS LIMITED,409632-113,pr,controlling_entity,APR ENERGY HOLDINGS LIMITED,gb,GB,07105073,United Kingdom of Great Britain and Northern Ireland
"ARC AZGYAPR001, LLC",975-1532,pr,controlling_entity,"ARC AZGYAPR001, LLC",us_de,US,4877008,United States of America
G-CAPITAL LIMITED,440582-113,pr,controlling_entity,G-Capital Limited,bs,BS,174993B,Bahamas
"TO-RICOS, LTD.",13830-112,pr,controlling_entity,"To-Ricos, Ltd.",bm,BM,38642,Bermuda
GEOCOMPLY SOLUTIONS INC.,483811-113,pr,controlling_entity,GEOCOMPLY SOLUTIONS INC.,ca,CA,,Canada
ENCANTO SUNRISE INC.,15736-112,pr,controlling_entity,ENCANTO SUNRISE INC.,ky,KY,,Cayman Islands
"ARAJET, S.A. INC.",502655-113,pr,controlling_entity,"ARAJET, S.A. INC.",do,DO,,Dominican Republic
NSM SERVICES PRIVATE LIMITED,398537-113,pr,controlling_entity,NSM SERVICES PRIVATE LIMITED INC.,in,IN,,India
ALORICA CONTACT SERVICES MEXICO S DE RL DE CV COMPAÑÍA DE RESPONSABILIDAD LIMITADA,498629-1513,pr,controlling_entity,ALORICA CONTACT SERVICES MEXICO S DE RL DE CV COMPAÑÍA DE RESPONSABILIDAD LIMITADA,mx,MX,,Mexico
PF CONSUMER HEALTHCARE HOLDING B.V. (PUERTO RICO) LLC,416473-1513,pr,controlling_entity,PF CONSUMER HEALTHCARE HOLDING B.V. (PUERTO RICO) LLC,nl,NL,,"Netherlands, Kingdom of the"
"COMPAÑIA PANAMEÑA DE AVIACION, S.A.",10182-112,pr,controlling_entity,"COMPAÑIA PANAMEÑA DE AVIACION, S.A.",pa,PA,,Panama
NATURGY APROVISIONAMIENTOS S.A.,15284-112,pr,controlling_entity,GAS NATURAL APROVISIONAMIENTOS SDG SA,es,ES,82531062,Spain
TRAFIGURA AG,11231-112,pr,controlling_entity,Trafigura AG,ch,CH,360232,Switzerland
GULF CHEMICAL CORP.,15706-112,pr,controlling_entity,GULF CHEMICAL CORP.,gb,GB,,United Kingdom of Great Britain and Northern Ireland
PULTE INTERNATIONAL CARIBBEAN CORPORATION,9523-112,pr,controlling_entity,PULTE INTERNATIONAL CARIBBEAN CORP.,us_mi,US,800265319,United States of America
ABBVIE LTD,13148-112,pr,controlling_entity,AbbVie Ltd,bm,BM,35511,Bermuda
DOMINION VOTING SYSTEMS CORPORATION,15343-112,pr,controlling_entity,DOMINION VOTING SYSTEMS CORPORATION,ca,CA,,Canada
CARIBE HOLDINGS (CAYMAN) CO. LTD. CORPORATION,369541-113,pr,controlling_entity,CARIBE HOLDINGS (CAYMAN) CO. LTD. CORPORATION,ky,KY,,Cayman Islands
SOEL SOLUCIONES ELECTRICAS COMPAÑÍA DE RESPONSABILIDAD LIMITADA,489047-1513,pr,controlling_entity,SOEL SOLUCIONES ELECTRICAS COMPAÑÍA DE RESPONSABILIDAD LIMITADA,do,DO,,Dominican Republic
TCS E-SERVE INTERNATIONAL LIMITED,14264-112,pr,controlling_entity,TCS E-SERVE INTERNATIONAL LIMITED,in,IN,U72300MH2007PLC240002,India
"CÍA. CAFETERA SAN ROQUE, S.A. CORP.",480040-113,pr,controlling_entity,"CÍA. CAFETERA SAN ROQUE, S.A. CORP.",mx,MX,,Mexico
PF CONSUMER HEALTHCARE B.V. (PUERTO RICO OPERATIONS) LLC,411977-1513,pr,controlling_entity,PF CONSUMER HEALTHCARE B.V. (PUERTO RICO OPERATIONS) LLC,nl,NL,,"Netherlands, Kingdom of the"
ANSTEE HOUSING CORP.,466434-113,pr,controlling_entity,ANSTEE HOUSING CORP.,pa,PA,354184,Panama
FUNDACION UNIVERSITARIA IBEROAMERICANA,380-122,pr,controlling_entity,FUNDACION UNIVERSITARIA IBEROAMERICANA,es,ES,,Spain
ABB SWITZERLAND LTD INC.,402324-113,pr,controlling_entity,ABB SWITZERLAND LTD INC.,ch,CH,,Switzerland
STEER DAVIES AND GLEAVE LIMITED,9690-112,pr,controlling_entity,STEER DAVIES & GLEAVE LIMITED,gb,GB,01883830,United Kingdom of Great Britain and Northern Ireland
"PEP BOYS-MANNY, MOE & JACK OF PUERTO RICO, INC.",9405-112,pr,controlling_entity,"PEP BOYS - MANNY, MOE & JACK OF PUERTO RICO, INC.",us_de,US,2445141,United States of America
ABBOTT HEALTHCARE (PUERTO RICO) LTD.,15571-112,pr,controlling_entity,Abbott Healthcare (Puerto Rico) Ltd.,bm,BM,46326,Bermuda
1941119 ONTARIO LIMITED INC.,362836-113,pr,controlling_entity,1941119 ONTARIO LIMITED INC.,ca,CA,,Canada
CUTLER-HAMMER ELECTRICAL COMPANY,13577-112,pr,controlling_entity,CUTLER-HAMMER ELECTRICAL COMPANY,ky,KY,,Cayman Islands
"C & K, INDUSTRIAL SERVICE, SRL",362929-812,pr,controlling_entity,"C & K, INDUSTRIAL SERVICE, SRL",do,DO,,Dominican Republic
ACCENTURE SOLUTIONS PRIVATE LIMITED,15770-112,pr,controlling_entity,ACCENTURE SOLUTIONS PRIVATE LIMITED,in,IN,U72400MH1990PTC057492,India
KARL STORZ ENDOSCOPIA MEXICO SOCIEDAD ANONIMA CORP.,449029-113,pr,controlling_entity,KARL STORZ ENDOSCOPIA MEXICO SOCIEDAD ANONIMA CORP.,mx,MX,,Mexico
MICRO FOCUS CARIBE HOLDING B.V. LLC,383952-1513,pr,controlling_entity,ENTCO CARIBE B. V. LLC,nl,NL,,"Netherlands, Kingdom of the"
COSTA DEL ESTE 1704 LLC,452558-1513,pr,controlling_entity,COSTA DEL ESTE 1704 LLC,pa,PA,,Panama
"INDRA SISTEMAS ESPAÑA, INC.",15611-112,pr,controlling_entity,"INDRA SISTEMAS ESPAÑA, INC.",es,ES,,Spain
INTUITIVE SURGICAL SÀRL,502136-113,pr,controlling_entity,Intuitive Surgical Sàrl,ch,CH,861465,Switzerland
AUTH0 PUERTO RICO INC.,457064-113,pr,controlling_entity,AUTH0 PUERTO RICO INC.,gb,GB,,United Kingdom of Great Britain and Northern Ireland
"GLOBAL SURETY, LLC",931-1532,pr,controlling_entity,"GLOBAL SURETY, L.L.C.",us_la,US,34604724K,United States of America
"LSREF2 ISLAND HOLDINGS, LTD., INC.",15713-112,pr,controlling_entity,"LSREF2 ISLAND HOLDINGS, LTD., INC.",bm,BM,,Bermuda
NRT TECHNOLOGY CORP.,338909-113,pr,controlling_entity,NRT TECHNOLOGY CORP.,ca,CA,,Canada
HUBBELL CARIBE LIMITED,13521-112,pr,controlling_entity,HUBBELL CARIBE LIMITED,ky,KY,,Cayman Islands
"INDUSTRIAS BANILEJAS, SAS",15261-112,pr,controlling_entity,"INDUSTRIAS BANILEJAS, SAS",do,DO,,Dominican Republic
"DWELLWORKS MEXICO, S. DE R.L. DE C.V.",436613-1513,pr,controlling_entity,"DWELLWORKS MEXICO, S. DE R.L. DE C.V. LLC",mx,MX,,Mexico
MARTINAIR HOLLAND N.V,11869-112,pr,controlling_entity,Martinair Holland N.V.,nl,NL,34029668,"Netherlands, Kingdom of the"
GISSENS LIMITED LIABILITY COMPANY,475134-1513,pr,controlling_entity,GISSENS LIMITED LIABILITY COMPANY,pa,PA,,Panama
"ALENER SOLAR S.L., INC.",320442-113,pr,controlling_entity,"ALENER SOLAR S.L., INC.",es,ES,,Spain
"BRISTOL-MYERS SQUIBB HOLDINGS PHARMA, LTD. LIABILITY COMPANY",12396-112,pr,controlling_entity,"BRISTOL-MYERS SQUIBB HOLDING PHARMA, LTD. LIABILITY COMPANY",ch,CH,,Switzerland
OPTAL FINANCIAL LIMITED,398993-113,pr,controlling_entity,OPTAL FINANCIAL LIMITED,gb,GB,08364883,United Kingdom of Great Britain and Northern Ireland
"LINCOLN FINANCIAL DISTRIBUTORS, INC.",9176-112,pr,controlling_entity,"LINCOLN FINANCIAL DISTRIBUTORS, INC.",us_ct,US,0007024,United States of America
"ABBOTT DIAGNOSTICS INTERNATIONAL, LTD",13509-112,pr,controlling_entity,"Abbott Diagnostics International, Ltd.",bm,BM,37032,Bermuda
AIR CANADA,474665-113,pr,controlling_entity,AIR CANADA,ca,CA,4396626,Canada
GLOBALSTAR CARIBBEAN LTD.,12624-112,pr,controlling_entity,GLOBALSTAR CARIBBEAN LTD.,ky,KY,,Cayman Islands
"SARTON DOMINICANA, S.A.S.",15666-112,pr,controlling_entity,"SARTON DOMINICANA, S.A.S.",do,DO,,Dominican Republic
"CATERPILLAR CRÉDITO,S.A. DE C.V. SOFOM, ER",14340-112,pr,controlling_entity,"CATERPILLAR CRÉDITO,S.A. DE C.V. SOFOM, ENR",mx,MX,,Mexico
VISTAPRINT NETHERLANDS B.V.,485340-113,pr,controlling_entity,Vistaprint Netherlands B.V.,nl,NL,14103390,"Netherlands, Kingdom of the"
"SYNTEX PUERTO RICO, INC.",4495-112,pr,controlling_entity,SYNTEX PUERTO RICO INC.,pa,PA,3754,Panama
CONGREGACION DE TERCIARIOS CAPUCHINOS DE NUESTRA SEÑORA DE LOS DOLORES,206-122,pr,controlling_entity,CONGREGACION DE TERCIARIOS CAPUCHINOS DE NUESTRA SEÑORA DE LOS DOLORES,es,ES,,Spain
COGNIZANT WORLDWIDE LIMITED,386053-113,pr,controlling_entity,COGNIZANT WORLDWIDE LIMITED,gb,GB,07195160,United Kingdom of Great Britain and Northern Ireland
"DE LAGE LANDEN FINANCIAL SERVICES, INC.",9054-112,pr,controlling_entity,"DE LAGE LANDEN FINANCIAL SERVICE, INC.",us_mi,US,,United States of America
GARDEN HOUSE PR INC.,332498-113,pr,controlling_entity,GARDEN HOUSE PR INC.,ca,CA,,Canada
"R.J. REYNOLDS TOBACCO (CI), CO.",12071-112,pr,controlling_entity,"R.J. REYNOLDS TOBACCO (CI), CO.",ky,KY,,Cayman Islands
"VESTAS WTG MÉXICO, S.A. DE C.V.",15411-112,pr,controlling_entity,"VESTAS WTG MÉXICO, S.A. DE C.V.",mx,MX,,Mexico
MICRO FOCUS HOLDING PR B.V. LLC,389846-1513,pr,controlling_entity,Micro Focus Holding PR B.V.,nl,NL,66938694,"Netherlands, Kingdom of the"
ROCHE PRODUCTS INC.,6371-112,pr,controlling_entity,ROCHE PRODUCTS INC. .,pa,PA,1798,Panama
BP MARINE LIMITED,14702-112,pr,controlling_entity,BP MARINE LIMITED,gb,GB,01214291,United Kingdom of Great Britain and Northern Ireland
PR SITE DEVELOPMENT CORPORATION,895-1532,pr,controlling_entity,PR SITE DEVELOPMENT CORPORATION,us_de,US,4791451,United States of America
BVPR INVESTMENTS INC.,328609-113,pr,controlling_entity,BVPR INVESTMENTS INC.,ca,CA,,Canada
"INTEGRA CI, INC.",13565-112,pr,controlling_entity,"INTEGRA CI, INC.",ky,KY,,Cayman Islands
LOUIS DREYFUS COMPANY MEXICO SA DE CV CORPORACIÓN,491244-113,pr,controlling_entity,LOUIS DREYFUS COMPANY MEXICO SA DE CV CORPORACIÓN,mx,MX,,Mexico
ZIMMER MANUFACTURING B.V.,13583-112,pr,controlling_entity,Zimmer Manufacturing B.V.,nl,NL,33283689,"Netherlands, Kingdom of the"
PUMA ENERGY SERVICES (LATAM) S.A. INC.,15-113,pr,controlling_entity,PUMA ENERGY SERVICES (LATAM) S.A. INC.,pa,PA,,Panama
INTERSERVICES MANAGEMENT COMPANY LIMITED,13646-112,pr,controlling_entity,INTERSERVICES MANAGEMENT COMPANY LIMITED,gb,GB,,United Kingdom of Great Britain and Northern Ireland
THE GATORADE PUERTO RICO COMPANY,8868-112,pr,controlling_entity,GATORADE PUERTO RICO COMPANY,us_de,US,2327827,United States of America
IGT CANADA SOLUTIONS ULC,15793-112,pr,controlling_entity,IGT CANADA SOLUTIONS ULC INC.,ca,CA,,Canada
MEDTRONIC PUERTO RICO OPERATIONS CO.,11897-112,pr,controlling_entity,MEDTRONIC PUERTO RICO OPERATIONS CO.,ky,KY,,Cayman Islands
"AGROINDUSTRIAS UNIDAS DE MEXICO, S.A DE C.V.",15347-112,pr,controlling_entity,AGROINDUSTRIAS UNIDAS DE MEXICO SA DE CV,mx,MX,2580709,Mexico
"HEWLETT PACKARD PUERTO RICO, BV LLC",2-1533,pr,controlling_entity,Hewlett-Packard Puerto Rico B.V.,nl,NL,34179404,"Netherlands, Kingdom of the"
PANAMA SUN OIL S.A.,14827-112,pr,controlling_entity,PANAMA SUN OIL S.A.,pa,PA,636319,Panama
"DIRECTV PUERTO RICO, LTD",10864-112,pr,controlling_entity,"DIRECTV PUERTO RICO, LTD",gb,GB,,United Kingdom of Great Britain and Northern Ireland
"MILLENNIUM BROKERAGE GROUP, LLC",881-1532,pr,controlling_entity,"MILLENNIUM BROKERAGE GROUP, LLC",us_tn,US,000363368,United States of America
GLO3D INC.,469973-113,pr,controlling_entity,Glo3D Inc.,ca,CA,12670984,Canada
"AMO PUERTO RICO MANUFACTURING, INC.",12050-112,pr,controlling_entity,"AMO PUERTO RICO MANUFACTURING, INC.",ky,KY,,Cayman Islands
