grantee,registration_index,corp_name,status_es,match_type
Foam Cem Caribe Inc.,51237-111,"FOAM CEM CARIBE, INC.",ACTIVA,exact
"General Office Industries, Inc.",51864-111,"GENERAL OFFICE INDUSTRIES, INC.",ACTIVA,exact
"ENVIRONMENTAL QUALITY LABORATORIES, INC.",51933-111,"ENVIRONMENTAL QUALITY LABORATORIES, INC.",ACTIVA,exact
GEGLOMA REALTY CORPORATION,52001-111,GEGLOMA REALTY CORPORATION,ACTIVA,exact
"Fox trailers, inc.",52084-111,"FOX TRAILERS, INC.",ACTIVA,exact
"ELMEC INDUSTRIES, INC",52190-111,"ELMEC INDUSTRIES, INC.",ACTIVA,exact
"DULCES TAINOS, INC.",52382-111,"DULCES TAINOS, INC.",DISUELTA,exact
"Productos La Aguadillana, Inc.",52572-111,"PRODUCTOS LA AGUADILLANA, INC.",ACTIVA,exact
General Office Industries Inc.,51864-111,"GENERAL OFFICE INDUSTRIES, INC.",ACTIVA,exact
Elmec Industries Inc.,52190-111,"ELMEC INDUSTRIES, INC.",ACTIVA,exact
DULCES TAINOS INC,52382-111,"DULCES TAINOS, INC.",DISUELTA,exact
Henframar Corporation,52716-111,HENFRAMAR CORPORATION,ACTIVA,exact
Super Specialties Inc.,53233-111,"SUPER SPECIALTIES, INC.",CANCELADA,exact
Riax Contractors Woodworking and remodeling Corporation,53276-111,"RIAX CONTRACTORS, WOODWORKING AND REMODELING CORPORATION",ACTIVA,exact
"Empresas Barsan, Inc.",53513-111,"EMPRESAS BARSAN, INC.",ACTIVA,exact
JESZOR PRINTS CORP.,53559-111,JESZOR PRINTS CORP.,ACTIVA,exact
RIAX CONTRACTORS WOODWORKING AND REMODELING CORPORATION,53276-111,"RIAX CONTRACTORS, WOODWORKING AND REMODELING CORPORATION",ACTIVA,exact
"ATLANTIC BROKERS, INC.",53836-111,"ATLANTIC BROKERS, INC.",CANCELADA,exact
Inversiones Colomar Inc.,54785-111,"INVERSIONES COLOMAR, INC.",CANCELADA,exact
Toperbee Corporation,55036-111,TOPERBEE CORPORATION,ACTIVA,exact
All Investment Corporation,55615-111,ALL INVESTMENT CORPORATION,ACTIVA,exact
"ENCO MANUFACTURING, CORP.",55739-111,ENCO MANUFACTURING CORP.,ACTIVA,exact
ALL INVESTMENT CORPORATION,55615-111,ALL INVESTMENT CORPORATION,ACTIVA,exact
Master Products Corporation,56071-111,MASTER PRODUCTS CORPORATION,ACTIVA,exact
Joviri Inc.,56073-111,"JOVIRI, INC.",ACTIVA,exact
"NEW STEEL, INC.",56140-111,"NEW STEEL, INC.",CANCELADA,exact
CANTERA CARRAIZO INC,56425-111,"CANTERA CARRAIZO, INC.",ACTIVA,exact
PAN AMERICAN GRAIN MANUFACTURING CO INC,56474-111,PAN AMERICAN GRAIN MANUFACTURING CO. INC.,ACTIVA,exact
"LP UNIVERSAL PRINTING, INC.",56667-111,"LP UNIVERSAL PRINTING, INC.",ACTIVA,exact
MASTER PRODUCTS CORPORATION,56071-111,MASTER PRODUCTS CORPORATION,ACTIVA,exact
"JOVIRI, INC.",56073-111,"JOVIRI, INC.",ACTIVA,exact
COMPUTER DISTRIBUTORS INC,57008-111,"COMPUTER DISTRIBUTORS, INC.",ACTIVA,exact
"TENERE PUERTO RICO, INC.",57171-111,"TENERE PUERTO RICO, INC.",DISUELTA,exact
Larsen's Products Inc,57305-111,"LARSEN'S PRODUCTS, INC.",ACTIVA,exact
"Hato Rey Plastics, Inc.",57741-111,"HATO REY PLASTICS, INC.",ACTIVA,exact
"Larsen's Products, Inc.",57305-111,"LARSEN'S PRODUCTS, INC.",ACTIVA,exact
A AVANTI KITCHENS INC,57452-111,"A AVANTI KITCHENS, INC.",ACTIVA,exact
A Avanti Kitchens Inc.,57452-111,"A AVANTI KITCHENS, INC.",ACTIVA,exact
"PASTELERIA CIDRINES, INC.",57657-111,"PASTELERIA CIDRINES, INC.",ACTIVA,exact
Elaboraciones Felo Inc.,58137-111,ELABORACIONES FELO INC.,ACTIVA,exact
"Telenetworks, Inc.",58625-111,TELENETWORKS INC.,ACTIVA,exact
P.S.M. CORPORATION,58729-111,P.S.M. CORPORATION,ACTIVA,exact
"MAX CHEMICAL, INC.",58896-111,"MAX CHEMICAL, INC.",ACTIVA,exact
MAX CHEMICAL INC,58896-111,"MAX CHEMICAL, INC.",ACTIVA,exact
Modern Plastics inc.,59471-111,MODERN PLASTICS INC.,DISUELTA,exact
B & B MANUFACTURING CORPORATION,59605-111,B & B MANUFACTURING CORPORATION,ACTIVA,exact
"Modern Plastics Inc,",59471-111,MODERN PLASTICS INC.,DISUELTA,exact
ZAP Import & Export Corp,59953-111,ZAP IMPORT & EXPORT CORP.,CANCELADA,exact
"CANTERA BRAVO, INC.",59968-111,"CANTERA BRAVO, INC.",CANCELADA,exact
"J.D. INDUSTRIES, INC.",60166-111,"J.D. INDUSTRIES, INC.",ACTIVA,exact
ISLAND COIL CORPORATION,60470-111,ISLAND COIL CORPORATION,ACTIVA,exact
TRADEWIND PLASTICS CORPORATION,60471-111,TRADEWIND PLASTICS CORPORATION,ACTIVA,exact
Island Litho Corporation,60472-111,ISLAND LITHO CORPORATION,ACTIVA,exact
PERFORMANCE CHEMICALS COMPANY INC,60694-111,"PERFORMANCE CHEMICALS COMPANY, INC.",ACTIVA,exact
ISLAND LITHO CORPORATION,60472-111,ISLAND LITHO CORPORATION,ACTIVA,exact
"SHORT RUN STAMPING COMPANY OF PUERTO RICO, INC.",60514-111,"SHORT RUN STAMPING COMPANY OF PUERTO RICO, INC.",DISUELTA,exact
ITS Corporation,61273-111,I.T.S. CORPORATION,ACTIVA,exact
"IPR Pharmaceuticals, Inc.",61324-111,"IPR PHARMACEUTICALS, INC.",ACTIVA,exact
"J.A.C. MFG., INC.",61650-111,J.A.C. MFG. INC.,ACTIVA,exact
"IPR PHARMACEUTICALS, INC.",61324-111,"IPR PHARMACEUTICALS, INC.",ACTIVA,exact
Federal Industries Inc.,62206-111,"FEDERAL INDUSTRIES, INC.",ACTIVA,exact
"BEST PETROLEUM, CORPORATION",63076-111,BEST PETROLEUM CORPORATION,ACTIVA,exact
HOJALATERIA HIPOLITO ROSA INC,63270-111,"HOJALATERIA HIPOLITO ROSA, INC.",ACTIVA,exact
"TRADEWIND FOODS, INC.",63272-111,"TRADEWIND FOODS, INC.",ACTIVA,exact
SP fabricators Inc.,63428-111,"S.P. FABRICATORS, INC.",CANCELADA,exact
"NU-VUE INDUSTRIES OF PUERTO RICO, INC.",63639-111,"NU-VUE INDUSTRIES OF PUERTO RICO, INC.",ACTIVA,exact
"Sea World, LLC",63898-111,"SEA WORLD, LLC",ACTIVA,exact
"STERI-TECH, INC.",63948-111,"STERI-TECH, INC.",ACTIVA,exact
"SACHS CHEMICAL, INC.",63517-111,"SACHS CHEMICAL, INC.",ACTIVA,exact
"CARIBBEAN AIRPORT FACILITIES, INC.",64105-111,"CARIBBEAN AIRPORT FACILITIES, INC.",ACTIVA,exact
MAYAGUEZ OPTICAL MANUFACTURING INC,64291-111,"MAYAGUEZ OPTICAL MANUFACTURING, INC.",ACTIVA,exact
"Isla del Río Inc,.",64444-111,"ISLA DEL RIO, INC.",ACTIVA,exact
"Borinquen Cones of Puerto Rico, Inc.",64789-111,"BORINQUEN CONES OF PUERTO RICO, INC.",ACTIVA,exact
"Simmons Caribbean Bedding, Inc.",64914-111,"SIMMONS CARIBBEAN BEDDING, INC.",ACTIVA,exact
GLASSTRA MANUFACTURING INC ,64975-111,"GLASSTRA MANUFACTURING, INC.",CANCELADA,exact
"Health Computer Systems, Inc.",65032-111,"HEALTH COMPUTER SYSTEMS, INC.",ACTIVA,exact
"STRUCTURAL STEEL MANUFACTURING, INC.",65119-111,"STRUCTURAL STEEL MANUFACTURING, INC.",ACTIVA,exact
"R & H PRODUCTS OF PUERTO RICO, INC.",65245-111,"R. & H. PRODUCTS OF PUERTO RICO, INC.",ACTIVA,exact
"PROFESSIONAL GRAPHICS, INC.",65397-111,"PROFESSIONAL GRAPHICS, INC.",ACTIVA,exact
WHOLESALERS GROUP INC,64447-111,"WHOLESALERS GROUP, INC.",CANCELADA,exact
HILTON ENGINEERING CORP,64322-111,"HILTON ENGINEERING, CORP.",ACTIVA,exact
"Wholesalers Group, Inc.",64447-111,"WHOLESALERS GROUP, INC.",CANCELADA,exact
MULTISYSTEMS INC,65802-111,"MULTISYSTEMS, INC.",ACTIVA,exact
"MATCOR, INC.",65884-111,"MATCOR, INC.",DISUELTA,exact
La Fábrica Inc.,66579-111,"LA FABRICA, INC.",ACTIVA,exact
CASTELL EXPORT CORPORATION,66632-111,CASTELL EXPORT CORPORATION,ACTIVA,exact
"STEEL SERVICES & SUPPLIES, INC",67043-111,"STEEL SERVICES & SUPPLIES, INC.",ACTIVA,exact
"Matcor, Inc.",65884-111,"MATCOR, INC.",DISUELTA,exact
"Challenger Brass & Copper Co., Inc.    ",66371-111,"CHALLENGER BRASS & COPPER CO., INC.",ACTIVA,exact
Steel Services & Supplies Inc.,67043-111,"STEEL SERVICES & SUPPLIES, INC.",ACTIVA,exact
Challenger Brass & Copper Co. Inc.,66371-111,"CHALLENGER BRASS & COPPER CO., INC.",ACTIVA,exact
MEZZA LUNNA RECORDING STUDIOS INC,68016-111,"MEZZA LUNNA RECORDING STUDIOS, INC.",CANCELADA,exact
"Cosmopar, Inc",68465-111,"COSMOPAR, INC.",ACTIVA,exact
"HI-TEC BRAKE MANUFACTURING CO., INC.",68553-111,"HI-TEC BRAKE MANUFACTURING CO., INC.",ACTIVA,exact
Publicaciones Puertorriqueñas Inc.,68617-111,"PUBLICACIONES PUERTORRIQUEÑAS, INC.",ACTIVA,exact
"MISTOLIN CARIBE, INC.",69027-111,MISTOLIN CARIBE INC.,ACTIVA,exact
Canmar Products Inc.,69165-111,"CANMAR PRODUCTS, INC.",DISUELTA,exact
Vista Color PR Inc,69227-111,"VISTA COLOR P.R., INC.",ACTIVA,exact
"SUPREME CABINETS, INC.",69609-111,"SUPREME CABINETS, INC.",CANCELADA,exact
COSMOPAR INC,68465-111,"COSMOPAR, INC.",ACTIVA,exact
Mistolin Caribe Inc.,69027-111,MISTOLIN CARIBE INC.,ACTIVA,exact
"CANMAR PRODUCTS, INC.",69165-111,"CANMAR PRODUCTS, INC.",DISUELTA,exact
Empresas Boriqué Inc.,69167-111,"EMPRESAS BORIQUE, INC.",ACTIVA,exact
Vista Color PR Inc.,69227-111,"VISTA COLOR P.R., INC.",ACTIVA,exact
"COSMOPAR, INC.",68465-111,"COSMOPAR, INC.",ACTIVA,exact
"Exotique Salon Essentials, Inc.",70312-111,"EXOTIQUE SALON ESSENTIALS, INC.",CANCELADA,exact
Security Plastics Caribe Inc.,70570-111,"SECURITY PLASTICS CARIBE, INC.",CANCELADA,exact
MAIN GUAYNABO CORPORATION,70850-111,MAIN GUAYNABO CORPORATION,ACTIVA,exact
"MARBRO, INC.",71077-111,"MARBRO, INC.",CANCELADA,exact
"ACE FORMING SYSTEMS, INC.",71268-111,"ACE FORMING SYSTEMS, INC.",ACTIVA,exact
"Servimetal, Inc.",71274-111,"SERVIMETAL, INC.",CONVERSIÓN,exact
"ORTHO-TAIN, INC.",71379-111,"ORTHO-TAIN, INC.",ACTIVA,exact
"NeliPak Puerto Rico, Inc.",71416-111,"NELIPAK PUERTO RICO, INC.",ACTIVA,exact
"ANGLE SHELF DISTRIBUTING CO., INC.",71490-111,ANGLE SHELF DISTRIBUTING CO. INC.,ACTIVA,exact
"Media Services, Inc.",71722-111,"MEDIA SERVICES, INC.",ACTIVA,exact
M & R PLASTIC AND METAL INDUSTRY CORP.,71775-111,M & R PLASTIC AND METAL INDUSTRY CORP.,ACTIVA,exact
Marbro Inc.,71077-111,"MARBRO, INC.",CANCELADA,exact
SERVIMETAL INC.,71274-111,"SERVIMETAL, INC.",CONVERSIÓN,exact
Servimetal Inc.,71274-111,"SERVIMETAL, INC.",CONVERSIÓN,exact
COMACO INCORPORADO,72140-111,COMACO INCORPORADO,ACTIVA,exact
"HAMBLETON GROUP COMPANIES, INC.",72371-111,"HAMBLETON GROUP COMPANIES, INC.",ACTIVA,exact
SUIZA FRUIT CORPORATION,73186-111,SUIZA FRUIT CORPORATION,DISUELTA,exact
Caribbean Electroplating Inc.,73206-111,"CARIBBEAN ELECTROPLATING, INC.",ACTIVA,exact
"Bioanalytical Instruments, Inc.",73817-111,BIOANALYTICAL INSTRUMENTS INC.,ACTIVA,exact
Fratelli Realty Inc.,73885-111,"FRATELLI REALTY, INC.",ACTIVA,exact
Suiza Fruit Corporation,73186-111,SUIZA FRUIT CORPORATION,DISUELTA,exact
"CUSTOMED, INC.",73962-111,"CUSTOMED, INC.",ACTIVA,exact
Juno Inc.,73970-111,"JUNO, INC.",DISUELTA,exact
Productos del Alto Inc.,74922-111,"PRODUCTOS DEL ALTO, INC.",ACTIVA,exact
"EL BORINCANO FEED MILLS, INC.",75103-111,"EL BORINCANO FEED MILLS, INC.",ACTIVA,exact
OPTI MANUFACTURING CORPORATION,75666-111,OPTI MANUFACTURING CORPORATION,ACTIVA,exact
"Illumination Products, Inc.",76368-111,"ILLUMINATION PRODUCTS, INC.",ACTIVA,exact
"FLEXITANK, INC.",76736-111,"FLEXITANK, INC.",ACTIVA,exact
Eagle Tools Manufacturing Corp.,76998-111,EAGLE TOOLS MANUFACTURING CORP.,ACTIVA,exact
"EX-LAX, INC.",77042-111,"EX-LAX, INC.",DISUELTA,exact
Carolina Catering Corp,77098-111,CAROLINA CATERING CORP.,ACTIVA,exact
"PRECIOUS METALS, INC.",77368-111,"PRECIOUS METALS, INC.",ACTIVA,exact
"AGUAYO'S SHEET METAL MFG, INC.",77397-111,"AGUAYO'S SHEET METAL MFG., INC.",ACTIVA,exact
MAIN PONCE CORPORATION,77542-111,MAIN PONCE CORPORATION,ACTIVA,exact
Puerto Rico Asphalt LLC ,78007-111,"PUERTO RICO ASPHALT, LLC",ACTIVA,exact
"AKM Mfg., Inc.",76784-111,"AKM MFG., INC.",ACTIVA,exact
"ACCURATE PRINTERS, INC.",78072-111,"ACCURATE PRINTERS, INC.",ACTIVA,exact
WASTE EQUIPMENT DE PUERTO RICO INC,78542-111,"WASTE EQUIPMENT DE PUERTO RICO, INC.",ACTIVA,exact
PARADISO FILMS INC,78774-111,"PARADISO FILMS, INC.",CANCELADA,exact
SIGN ENGINEERING CORPORATION,78796-111,SIGN ENGINEERING CORPORATION,CONVERSIÓN,exact
Esco Manufacturing Inc.,78856-111,"ESCO MANUFACTURING, INC.",ACTIVA,exact
RCM metal Sheet Corp,78915-111,RCM METAL SHEET CORP.,ACTIVA,exact
ICB MANUFACTURING CO INC,79484-111,"ICB MANUFACTURING CO., INC.",ACTIVA,exact
"Clinical Research PR, Inc.",79588-111,"CLINICAL RESEARCH P.R., INC.",ACTIVA,exact
"CARIBBEAN BEST BLOCK, INC.",79773-111,"CARIBBEAN BEST BLOCK, INC.",DISUELTA,exact
Impress Quality Business Forms Inc.,79831-111,"IMPRESS QUALITY BUSINESS FORMS, INC",CANCELADA,exact
RCM METAL SHEET CORP.,78915-111,RCM METAL SHEET CORP.,ACTIVA,exact
"ICB MANUFACTURING, CO., INC.",79484-111,"ICB MANUFACTURING CO., INC.",ACTIVA,exact
"PRODUCCIONES SANCO, INC.",80380-111,PRODUCCIONES SANCO INC.,ACTIVA,exact
"LASER PRODUCTS, INC.",80929-111,"LASER PRODUCTS, INC.",ACTIVA,exact
"AUTOMATION TECHNOLOGIES, INC.",81785-111,"AUTOMATION TECHNOLOGIES, INC.",CANCELADA,exact
Marine Express Inc.,82073-111,"MARINE EXPRESS, INC.",ACTIVA,exact
"ORACLE CARIBBEAN, INC.",80090-111,"ORACLE CARIBBEAN, INC.",ACTIVA,exact
ORACLE CARIBBEAN INC,80090-111,"ORACLE CARIBBEAN, INC.",ACTIVA,exact
Publimagen de Asesores Inc.,82741-111,"PUBLIMAGEN DE ASESORES, INC.",CANCELADA,exact
FAST STEEL CORPORATION ,82832-111,"FAST STEEL, CORPORATION",CANCELADA,exact
J.R. QUALITY METAL CORPORATION,83754-111,J.R. QUALITY METAL CORPORATION,CANCELADA,exact
"Caribbean Sign Supply, Inc. ",83888-111,"CARIBBEAN SIGN SUPPLY, INC.",ACTIVA,exact
BMF INC,83900-111,"BMF, INC.",CANCELADA,exact
IMPRESOS CARIBE INC,82739-111,"IMPRESOS CARIBE, INC.",ACTIVA,exact
"PUBLIMAGEN DE ASESORES, INC.",82741-111,"PUBLIMAGEN DE ASESORES, INC.",CANCELADA,exact
Fashion Group Inc.,83879-111,"FASHION GROUP, INC.",ACTIVA,exact
"CARIBBEAN SIGN SUPPLY, INC.",83888-111,"CARIBBEAN SIGN SUPPLY, INC.",ACTIVA,exact
BMF Inc.,83900-111,"BMF, INC.",CANCELADA,exact
"Fashion Group, Inc.",83879-111,"FASHION GROUP, INC.",ACTIVA,exact
"Caribbean Sign Supply, Inc.",83888-111,"CARIBBEAN SIGN SUPPLY, INC.",ACTIVA,exact
INNOVA TRADING CORP,84360-111,"INNOVA TRADING, CORP.",ACTIVA,exact
Payco Foods Corporation,84657-111,PAYCO FOODS CORPORATION,ACTIVA,exact
"INSULATION SPECIALTIES MANUFACTURING, INC.",84914-111,INSULATION SPECIALTIES MANUFACTURING INC.,DISUELTA,exact
IMPRENTA LLORENS INC,85400-111,"IMPRENTA LLORENS, INC.",ACTIVA,exact
INNOVA TRADING CORP.,84360-111,"INNOVA TRADING, CORP.",ACTIVA,exact
"MASS PRODUCTIONS, INC.",86372-111,"MASS PRODUCTIONS, INC.",DISUELTA,exact
"TOYOTA DE PUERTO RICO, CORP.",86405-111,TOYOTA DE PUERTO RICO CORP.,ACTIVA,exact
Publimagen de Asesores Inc.,86513-111,"PUBLIMAGEN DE ASESORES, INC.",FUSIONADA,exact
MULTI STEEL PIPE & SUPPLIES INC.,86737-111,"MULTI STEEL PIPE & SUPPLIES, INC.",CANCELADA,exact
"ALPHA TECH, INC.",86765-111,"ALPHA TECH, INC.",CANCELADA,exact
Bearing Buddy Inc.,87001-111,"BEARING BUDDY, INC.",ACTIVA,exact
Vtm Manufacturing Corporation,87713-111,VTM MANUFACTURING CORPORATION,ACTIVA,exact
"PRAQCO INDUSTRIAL SUPPLY, INC.",87930-111,"PRAQCO INDUSTRIAL SUPPLY, INC.",DISUELTA,exact
"HAPPY PRODUCTS, INC.",88054-111,"HAPPY PRODUCTS, INC.",ACTIVA,exact
"UNITED FORMS & GRAPHICS, INC.",88212-111,"UNITED FORMS & GRAPHICS, INC.",ACTIVA,exact
"SWEET ANN CAKE, INC.",88320-111,"SWEET ANN CAKE, INC.",ACTIVA,exact
"PUBLIMAGEN DE ASESORES, INC.",86513-111,"PUBLIMAGEN DE ASESORES, INC.",FUSIONADA,exact
ROOFING PRODUCTS CORPORATION,88272-111,ROOFING PRODUCTS CORPORATION,ACTIVA,exact
"RORTIZ AUTO DISTRIBUTORS, INC",88823-111,"RORTIZ AUTO DISTRIBUTORS, INC.",ACTIVA,exact
WEIL GROUP INC.,89165-111,"WEIL GROUP, INC.",ACTIVA,exact
Empresas Mundo Real Inc.,89649-111,"EMPRESAS MUNDO REAL, INC.",ACTIVA,exact
Universal Recycling Corp.,89805-111,UNIVERSAL RECYCLING CORP.,CANCELADA,exact
"Caribbean Sign Supplies Manufacturers, Inc.",90035-111,"CARIBBEAN SIGN SUPPLIES MANUFACTURERS, INC.",ACTIVA,exact
"AGUAKEM CARIBE, INC.",90116-111,"AGUAKEM CARIBE, INC.",CANCELADA,exact
"BAEZ IRON WORKS, INC",90142-111,BAEZ IRON WORKS INC.,CANCELADA,exact
"Prime Controls, Inc.",90236-111,"PRIME CONTROLS, INC.",ACTIVA,exact
"COMPUTER EXPERT GROUP, INC.",90257-111,"COMPUTER EXPERT GROUP, INC.",CONVERSIÓN,exact
"Vibranalysis, Inc.",90270-111,"VIBRANALYSIS, INC.",ACTIVA,exact
RAC ENTERPRISES INC.,90278-111,"RAC ENTERPRISES, INC",CONVERSIÓN,exact
WEIL GROUP INC,89165-111,"WEIL GROUP, INC.",ACTIVA,exact
"Prime Controls Inc,",90236-111,"PRIME CONTROLS, INC.",ACTIVA,exact
Vibranalysis Inc.,90270-111,"VIBRANALYSIS, INC.",ACTIVA,exact
Weil Group Inc.,89165-111,"WEIL GROUP, INC.",ACTIVA,exact
"PURE POWER PROTECTION, INC.",90618-111,"PURE POWER PROTECTION, INC.",ACTIVA,exact
"ENERGIA 2000, INC.",90808-111,"ENERGIA 2000, INC.",ACTIVA,exact
"CNC 2000, INC",90906-111,"CNC 2000, INC.",ACTIVA,exact
R D MEDICAL MANUFACTURING INC,91084-111,"R D MEDICAL MANUFACTURING, INC.",CANCELADA,exact
ORTIZ KITCHEN MANUFACTURING INC,91414-111,"ORTIZ KITCHEN MANUFACTURING, INC.",ACTIVA,exact
Bacplas Inc.,91429-111,BACPLAS INC.,CANCELADA,exact
"Bio-Systems International, Inc.",91554-111,"BIO-SYSTEMS INTERNATIONAL, INC.",ACTIVA,exact
"SOFTEX PRODUCTS, INC. P.R.",91598-111,SOFTEX PRODUCTS INC. PR..,ACTIVA,exact
"COMPUTER INTEGRATION OF QUALITY ASSURANCE, INC.",91925-111,COMPUTER INTEGRATION OF QUALITY ASSURANCE INC.,ACTIVA,exact
WARTSILA CARIBBEAN INC,92155-111,"WARTSILA CARIBBEAN, INC.",ACTIVA,exact
JEH properties Inc.,92285-111,"J.E.H. PROPERTIES, INC.",ACTIVA,exact
"Productos Pacheco, Inc.",91454-111,"PRODUCTOS PACHECO, INC.",ACTIVA,exact
