company_number_search,jurisdiction_code_search,company_name_search,country_code_search,state_search
000685324,us_tn,"AnovoRx Group, LLC",US,TN
5685674,us_de,"NORTH STAR DEVELOPMENT, LLC",US,DE
0450007357,us_nj,EBURY FUND 2 NJ LLC,US,NJ
7201583,us_de,PHSU CAMPUS DEVELOPMENT LLC,US,DE
D18910034,us_md,RINCON RUM INC,US,MD
7249895,us_de,TRANSFORM KM LLC,US,DE
W06090096,us_md,"SMARTLINK, LLC",US,MD
5292822,us_de,"NORTHCOAST WARRANTY SERVICES, INC.",US,DE
P17000040135,us_fl,SURGICAL NUTRITION SOLUTIONS INC.,US,FL
L08000092585,us_fl,"JOE ANDERSON HOLDINGS, LLC",US,FL
EXTUID_2739475,us_dc,ASSOCIATION OF STATE AND TERRITORIAL HEALTH OFFICIALS (THE),US,DC
7003258,us_de,DMJ AFFORDABLE HOUSING LLC,US,DE
3390313,us_de,"R&B SALES AND MARKETING, INC.",US,DE
4095171,us_pa,"ITC Global Networks, LLC",US,PA
0801235005,us_tx,"R.A. GONZALEZ & ASSOCIATES, LLC",US,TX
1949801,us_oh,GREEN EQUIPMENT MANUFACTURING LLC,US,OH
6341131,us_de,"NORTNIC GROUP, LLC",US,DE
6287798,us_de,"SUNNOVA LAP I, LLC",US,DE
4868695,us_ny,STERLING & STERLING LLC,US,NY
6127286,us_de,SABANA VILLAGE ASSOCIATES CORP.,US,DE
4967564,us_de,KLARNA INC.,US,DE
L16000074783,us_fl,"REZPIRA, LLC",US,FL
5334549,us_de,"INSITE TOWERS DEVELOPMENT, LLC",US,DE
5810805,us_de,VIEWPOINT AT THE PARK LLC,US,DE
3509271,us_de,"GRANITE TELECOMMUNICATIONS, LLC",US,DE
5784038,us_de,"DDV MM, LLC",US,DE
5732943,us_de,270 PR UNIT 5 LLC,US,DE
0801709277,us_tx,"TouchPay Holdings, LLC",US,TX
,us_fl,ASL SERVICES LATINO PR INC.,US,FL
042490014,us_ma,"ASSOCIATED CREDIT SERVICES, INC.",US,MA
CORP_49662971,us_il,NATIONAL OPINION RESEARCH CENTER,US,IL
0801922302,us_tx,"Maxor National Pharmacy Services, LLC",US,TX
4612592,us_de,WARRINGTON ASSET MANAGEMENT LLC,US,DE
W04744827,us_md,"MADISON CAPITAL, L.L.C",US,MD
2213493,us_de,NORTHERN ENTERTAINMENT PRODUCTIONS LLC,US,DE
0100731391,us_nj,"FIRST CREDIT SERVICES, INC.",US,NJ
5053408,us_de,VEGA BAJA APARTMENTS MANAGER CORP.,US,DE
2567824,us_de,"SEAMLESS TEXTILES, LLC",US,DE
0600060388,us_nj,"PATHFINDER, L.L.C.",US,NJ
03018033,us_va,"Carelon Behavioral Health, Inc.",US,VA
3599894,us_ny,TDMG CORP.,US,NY
2291785,us_de,"EXPRESS SCRIPTS, INC.",US,DE
1225660,us_ca,"INFOR PUBLIC SECTOR, INC.",US,CA
5066898,us_de,"VEGA BAJA SOLAR PROJECT, LLC",US,DE
5080212,us_de,"SOLAR PROJECT SAN JUAN, LLC",US,DE
165770,us_fl,"CH2M HILL, INC.",US,FL
4889248,us_de,SAN FERMIN SOLAR FARM LLC,US,DE
L027193,us_wi,"LAKEVIEW CONSTRUCTION, LLC",US,WI
941229,us_de,"SIEMENS MEDICAL SOLUTIONS USA, INC.",US,DE
2168220,us_de,"VALVOLINE INSTANT OIL CHANGE FRANCHISING, INC.",US,DE
3428953,us_de,"ATLANTA CAPITAL MANAGEMENT COMPANY, LLC",US,DE
7760586,us_de,"LEVERAGE FINANCIAL GROUP, LLC",US,DE
2582833,us_de,"DS XVI, LLC",US,DE
L24000124598,us_fl,"DIGITALERA, L.L.C.",US,FL
0400546915,us_nj,PEACE ELECTRONICS CORPORATION,US,NJ
E0395702009-3,us_nv,"GAMING ARTS, LLC",US,NV
04004925,us_va,QinetiQ Inc.,US,VA
000-382-251,us_al,The Moore Wright Group,US,AL
000-146-163,us_al,"GSE, Inc.",US,AL
6139241,us_de,TRANSACT CAMPUS INC.,US,DE
N10000009626,us_fl,"I.B.E.W. LOCAL UNION #222, BUILDING CORPORATION",US,FL
7071302,us_ny,PALACIO DEL CARMEN LLC,US,NY
L23000535187,us_fl,"BNM AGENCY, LLC",US,FL
Z19417468,us_md,L H WOODWORKING LLC,US,MD
6865223,us_ny,A LIVING AMERICAN CIVIL CURATOR GAYLORD-CECIL YOUNG-JUNIOR ESQUIRE LLC,US,NY
7013591,us_de,"SUNNOVA TEP 7-D, LLC.",US,DE
,us_de,"STARDAY FOODS, INC.",US,DE
DL240838,us_sd,GO MD USA LLC,US,SD
6500293,us_de,"CLEARVIEW AI, INC.",US,DE
2268010,us_de,"CYNOSURE, LLC",US,DE
10023051,us_ak,"Copper River Infrastructure Services, LLC",US,AK
7102740,us_de,"KV POWER, LLC",US,DE
11006056,us_va,"AC&A USA, LLC",US,VA
2553416,us_ny,DOCUWARE CORPORATION,US,NY
04128161,us_va,"PITTMAN'S TREE & LANDSCAPING, LLC",US,VA
3742511,us_de,"THE MILLENNIUM GROUP OF DELAWARE, INC.",US,DE
3936807,us_pa,Prism Response LLC,US,PA
6714536,us_pa,Alternative Transmission Inc.,US,PA
,us_il,CF PREFERRED LLC,US,IL
08376519,us_va,"Wood Safety Consultants, Inc.",US,VA
LC0833976,us_mo,"Missouri Holdings, LLC",US,MO
L22000201663,us_fl,E' LA COSA LLC,US,FL
609545,us_ms,"MORGAN-WHITE GROUP, INC.",US,MS
2462536,us_de,"SABRE INTERNATIONAL, LLC",US,DE
0450267031,us_nj,BANCASA MORTGAGE CORPORATION,US,NJ
6743134,us_de,"DEXT CAPITAL, LLC",US,DE
6516618,us_de,"CASA COQUI, LLC",US,DE
0000104185,us_nd,"NODAK COMPANIES, LLC",US,ND
861442,us_nh,SOLSHINE SOLAR LLC,US,NH
6035901,us_de,"OSP CONSORTIUM III, LLC",US,DE
2963325,us_de,"CAVALRY INVESTMENTS, LLC",US,DE
0591323,us_nc,Substation Engineering Company,US,NC
,us_de,CARIBBEAN MARKETING GROUP LLC,US,DE
,us_de,"IBM OCEAN US, INC.",US,DE
3777873,us_de,"PR SOLAR D1, LLC",US,DE
,us_de,"KBR WYLE SERVICES, LLC",US,DE
0600168368,us_nj,"SETON PHARMACEUTICALS, LLC",US,NJ
3083208,us_de,PLUG POWER INC.,US,DE
7602269,us_de,"SEA SOLAR, LLC",US,DE
2706349,us_de,"LOCUS TELECOMMUNICATIONS, LLC",US,DE
7485775,us_de,HOPE METROPOLITAN COMMUNITY LLC,US,DE
L17000211792,us_fl,"THE SECRET PANDA, LLC.",US,FL
L16000225259,us_fl,JPIZARS - CPA AND BUSINESS CONSULTANTS LLC,US,FL
L08866712,us_az,"WORKS CONSULTING, LLC",US,AZ
,us_fl,JRK CONTRACTORS CORP CORP.,US,FL
L12000024743,us_fl,"ASSUREDPARTNERS OF FLORIDA, LLC",US,FL
3495149,us_ny,AMERICAN INTEGRATED SECURITY GROUP INC.,US,NY
7003287,us_de,EL REMANSO RESIDENTIAL COMPLEX LLC,US,DE
0121384700,us_tx,"CASH REGISTER SERVICES, INC.",US,TX
L07000036952,us_fl,OPTIMAL RECOVERY LLC,US,FL
1056866,us_ca,AMADA CAPITAL CORPORATION,US,CA
1301175,us_ny,"THOMAS WRIGHT ASSET MANAGEMENT, INC.",US,NY
2821740,us_de,SUNRUN INSTALLATION SERVICES INC.,US,DE
800278626,us_mi,ATLAS OIL COMPANY,US,MI
1262337,us_ca,IMC/MEDTRONIC,US,CA
,us_fl,ECO BUILDING SOLUTIONS OF PR INC.,US,FL
0248388,us_ca,"WORLD VISION, INC.",US,CA
,us_co,FAMILY ENVIRONMENTAL COMPLIANCE SERVICES INC CORPORATION,US,CO
,us_tn,"NORTHSTRAR I&E, INC.",US,TN
,us_nj,MINISTERIO UNA FE VIOLENTA INCORPORADO,US,NJ
P17000032957,us_fl,"FREEZONE STORE, INC.",US,FL
0067702301,us_tx,"Marketplace Ministries, Inc.",US,TX
3179241,us_ca,SAP CONSULTING SERVICES,US,CA
5881096,us_de,"IMPRISONED, LLC",US,DE
EXTUID_2913599,us_dc,HOGAN LOVELLS US LLP,US,DC
1507959,us_nc,"Spectraforce Health, LLC",US,NC
2020-000967630,us_wy,The Avon Company,US,WY
332421,us_de,"AMERICAN AIRLINES, INC.",US,DE
P96000027807,us_fl,"CLASSIC CONTROLS, INC.",US,FL
5381468,us_de,"LL B SHEET 1, LLC",US,DE
5485855,us_de,"CONDADO DUO LA CONCHA HOTEL TOWER SPV, LLC",US,DE
J17734,us_fl,"HALEY CONSTRUCTION, INC.",US,FL
0101011797,us_nj,UNLIMITED RECHARGE INC.,US,NJ
2259499,us_de,INCYTE CORPORATION,US,DE
,us_sc,CONCENTRIX INSURANCE ADMINISTRATION SOLUTIONS CORPORATION,US,SC
4927516,us_de,1312 PONCE DE LEON MANAGER CORP.,US,DE
20081430601,us_co,"Statebridge Company, LLC",US,CO
,us_de,PHILADELPHIA FINANCIAL DISTRIBUTION COMPANY,US,DE
0243958,us_nc,"Meridian Financial Services, Inc.",US,NC
871560,us_de,"WESTAT, INC.",US,DE
4285048,us_de,"ENESCO, LLC",US,DE
2138606,us_de,"UCB, INC.",US,DE
180457,us_pa,"JOHNSON, KENDALL AND JOHNSON, INC.",US,PA
3300440,us_de,LIQUIDITY SERVICES OPERATIONS LLC,US,DE
356175,us_oh,BUCKEYE MANAGEMENT COMPANY,US,OH
,us_ri,"PICERNE-TRUJILOLO ALTO, INC.",US,RI
02369973,us_va,"AMF Bowling Centers, Inc.",US,VA
0972970,us_ct,"FRANCHISE WORLD HEADQUARTERS, LLC",US,CT
L22000492450,us_fl,AK HOME STAYS SOLUTIONS LLC,US,FL
0600054010,us_nj,"MCCANN SYSTEMS, L.L.C.",US,NJ
5865014,us_de,ALCHEMY PARK CONSULTING LLC,US,DE
5145315,us_de,"SIMPLETIX.COM, INC",US,DE
L23000039275,us_fl,"WINDSTREAM AMH, LLC",US,FL
0241480,us_nc,Mesa Global,US,NC
6117981,us_de,"POPULAR EQUIPMENT FINANCE, LLC",US,DE
7222306,us_de,"SUNRUN IRIS HOLDINGS 2023-1, LLC",US,DE
6913644,us_de,SENSORMATIC USA LLC,US,DE
7108191,us_de,"HIBISCUSPR 384, LLC",US,DE
,us_de,"APPLIED WARRANTY AND INSURANCE SERVICES, LLC",US,DE
7035028,us_de,"SUNRUN POSEIDON HOLDINGS 2022, LLC",US,DE
828196,us_de,"BIO-MEDICAL APPLICATIONS OF MAYAGUEZ, INC.",US,DE
,us_fl,LASIEMPREVERDE.COM LLC,US,FL
7004857,us_de,ONE SALINAS INDUSTRIAL LLC,US,DE
0804071388,us_tx,GTS Land LLC,US,TX
3513062571,us_ok,"CLEAR MOBILE, LLC",US,OK
2004020600193,us_in,"CASA NOSTRA, LLC",US,IN
,us_tx,PCR TIRES LLC,US,TX
2013-000646438,us_wy,"Realty Relations Group, LLC",US,WY
,us_de,NTT CLOUD COMMUNICATIONS U.S. INC.,US,DE
C1173436,us_mt,Vaquero Industries LLC,US,MT
5051455,us_de,"REMITLY, INC.",US,DE
0600014956,us_nj,"THE MICHAELS DEVELOPMENT COMPANY I, L.P.",US,NJ
6338614,us_de,"SUNRUN JUPITER OWNER 2022-1, LLC",US,DE
41047341K,us_la,IAF CONSULTING LLC,US,LA
6253989,us_de,ASSA ABLOY AMERICAS RESIDENTIAL INC.,US,DE
5024215,us_de,"LATIN AMERICAN CHICKEN, LLC",US,DE
4329528,us_de,"MCUS, LLC",US,DE
0800554994,us_tx,"BMS CAT WORLDWIDE, LLC",US,TX
7287628,us_de,"GRUPO ESTRELLA, LLC",US,DE
L20000141321,us_fl,RUBIX GROUP LLC,US,FL
0803467033,us_tx,"Distributed Power Solutions, LLC",US,TX
813872,us_pa,CapAcuity Securities Inc.,US,PA
,us_de,"TZERO MARKETS, LLC",US,DE
7313910,us_de,"CLOUD 9 SOFTWARE, INC.",US,DE
4294030,us_de,"SICE, INC.",US,DE
5220603,us_de,"READYCAP LENDING, LLC",US,DE
P19000045609,us_fl,"CHICO'S RETAIL OPERATIONS, INC.",US,FL
89594098,us_or,"WS ACQUISITION, LLC",US,OR
6195803,us_de,"BIND BENEFITS, INC.",US,DE
,us_de,"ACCENTURE SERVICES, LLC",US,DE
6659151,us_pa,RP Surety LLC,US,PA
1005013,us_ct,BAILEY SCARANO LLC,US,CT
6606108,us_de,"NEIEP, LLC",US,DE
7003331,us_de,SCJ HOUSING MANAGER CORP.,US,DE
3031235,us_de,"SOURCEPOINT, INC.",US,DE
P99000056835,us_fl,"STAFFLINK OUTSOURCING IV, INC.",US,FL
EXTUID_4131321,us_dc,Arcus Consulting Group LLC,US,DC
3879204,us_ca,"RUTLEDGE CLAIMS MANAGEMENT, INC.",US,CA
3609150,us_de,SPECIALIZED LOAN SERVICING LLC,US,DE
042930153,us_ma,"RESOURCE INSIGHT, INC.",US,MA
894994,us_ms,"Scott M. Favre Public Adjuster, LLC",US,MS
6187323,us_de,AERO PUERTO RICO LLC,US,DE
,us_va,RADIO RESTAURACION VA-LA FRECUENCIA EN SU PRESENCIA INC.,US,VA
EXTUID_4147393,us_dc,Virtual Educa Foundation,US,DC
3258087,us_de,"KEMIRA WATER SOLUTIONS, INC.",US,DE
001191631,us_ma,TRADITIONAL MORTGAGE ACCEPTANCE CORPORATION,US,MA
731768,us_nh,ISLE 787 PROPERTIES LLC,US,NH
19981069308,us_co,"OpSec Security, Inc.",US,CO
0036080000,us_tx,"HUB INTERNATIONAL TEXAS, INC.",US,TX
5497847,us_de,"KATE SPADE PUERTO RICO, LLC",US,DE
L06000101078,us_fl,"PICERNE CAV, LLC",US,FL
801501121,us_mi,"SACHSE CONSTRUCTION AND DEVELOPMENT COMPANY, L.L.C.",US,MI
000374409,us_tn,"LENDERLIVE NETWORK, INC.",US,TN
5029810,us_de,Q LINK WIRELESS LLC,US,DE
J80805,us_fl,"R C C ASSOCIATES, INC.",US,FL
,us_de,J.I.C. CORPORATON,US,DE
5025208,us_de,WORLDREMIT CORP.,US,DE
00468677,us_mo,"NATIONWIDE JANITORIAL SERVICES, INC.",US,MO
042585210,us_ma,"PERINI MANAGEMENT SERVICES, INC.",US,MA
0140900300,us_tx,"DOLEX DOLLAR EXPRESS, INC.",US,TX
4232575,us_de,BEACH RE LIMITED,US,DE
0400104810,us_nj,PAKKO INC,US,NJ
3404128,us_de,ENERGY SERVICES LLC,US,DE
2354876,us_de,"OPTUMINSIGHT, INC.",US,DE
2139012,us_de,"COLUMBIA PICTURES INDUSTRIES, INC.",US,DE
0800751534,us_tx,"Audubon Engineering Solutions, LLC",US,TX
D01195759,us_md,FIDELITY AND DEPOSIT COMPANY OF MARYLAND,US,MD
D03658572,us_md,"AEROTEK AFFILIATED SERVICES, INC",US,MD
000838434,us_ma,"BERENSON ASSOCIATES, INC.",US,MA
S75513,us_fl,"DATAMAXX APPLIED TECHNOLOGIES, INC.",US,FL
P01000106266,us_fl,MEDCARE SOLUTIONS INC.,US,FL
2297806,us_de,"HV GLOBAL GROUP, INC.",US,DE
2700851,us_de,CISCO SYSTEMS (PUERTO RICO) CORP.,US,DE
705421,us_de,ENTRUST DATACARD CORPORATION,US,DE
2426319,us_de,DELOITTE LLP,US,DE
2044743,us_de,"NORTH AMERICA PACKAGING OF PUERTO RICO, INC.",US,DE
800108307,us_mi,AMWAY DE PUERTO RICO INC.,US,MI
51875,us_ny,"BROADCAST MUSIC, INC.",US,NY
C1796-1978,us_nv,"JOHN CRANE CARIBE, LTD.",US,NV
5403279,us_ny,LANDMARK STRATEGY GROUP LLC,US,NY
2527101,us_de,BET ON IT CONSULTING LLC,US,DE
10807817-0160,us_ut,"ACIMA HOLDINGS, LLC",US,UT
,us_wy,PRESHENT ENERGY PR LLC,US,WY
3769590,us_ny,"UNDERHILL HOLDINGS, LLC",US,NY
7520578,us_de,"EXPERIOR FINANCIAL GROUP, INC.",US,DE
5072088,us_de,HIREART INC.,US,DE
202359210773,us_ca,Peak Home Finance LLC,US,CA
6475719,us_or,OREGON RESEARCH INSTITUTE,US,OR
,us_de,"RNWBL, LLC",US,DE
L22000154579,us_fl,G&S GENERAL CONTRACTOR LLC,US,FL
7638909,us_de,CONVERGENT PR SOLAR ENERGY 1 LLC,US,DE
2227638,us_de,"ACUREN INSPECTION, INC.",US,DE
601892725,us_wa,MOLECULAR INCORPORATED,US,WA
803055248,us_mi,BDG PUERTO RICO LLC,US,MI
7339293,us_de,STEM REVOLUTION LLC,US,DE
10187523,us_ne,BERKELEY POINT CAPITAL LLC,US,NE
P98000067869,us_fl,"THE AULT GROUP, INC.",US,FL
346416,us_oh,THE EUCLID CHEMICAL COMPANY,US,OH
1500775,us_ca,"E2 CONSULTING ENGINEERS, INC.",US,CA
,us_fl,"LEE INVESTMENTS PR, LLC",US,FL
6323932,us_ny,IWVC ACQUISITIONS LLC,US,NY
0400465928,us_nj,RJEM LIMITED LIABILITY COMPANY,US,NJ
,us_fl,SABIUS CORP.,US,FL
EXTUID_4195708,us_dc,"MOYA DESIGN PARTNERS, LLC",US,DC
,us_nj,VALLEY NATIONAL BANK INC.,US,NJ
0801921498,us_tx,"Atlas Field Services, LLC",US,TX
L18000052777,us_fl,LIBERTY MOBILE WIRELESS LLC,US,FL
2142766,us_de,MEDICAL ACTION INDUSTRIES INC.,US,DE
6776590,us_de,"SUNRUN TERRA MANAGER 2022, LLC",US,DE
2992537,us_de,"48FORTY SOLUTIONS, LLC",US,DE
3080385,us_ny,LAKEVIEW MORTGAGE BANKERS CORP.,US,NY
L21000417503,us_fl,"CASA BAHIA ARECIBO, LLC",US,FL
2027980,us_de,"ALK-ABELLO, INC.",US,DE
6294957,us_de,COTRUST PUERTO RICO 18 LLC,US,DE
202104111032,us_ca,"ENPHASE SERVICE COMPANY, LLC",US,CA
23160819,us_az,IMAGINE LEARNING LLC,US,AZ
228134,us_pa,Mennonite Central Committee U.S.,US,PA
3268114,us_de,QUERITEL CORP.,US,DE
L21000255376,us_fl,FDL MANAGEMENT & CONSULTING SERVICES FLA LLC,US,FL
5460166,us_de,"EQUISOLVE, INC.",US,DE
1389818,us_nc,Mako Medical Laboratories LLC,US,NC
21567294,us_az,"INNOVATIVE MEASURING SYSTEMS, INC.",US,AZ
3562298,us_de,"PARALLEL PAYMENTS, INC.",US,DE
V47016,us_fl,SDI INTERNATIONAL CORP.,US,FL
3926584,us_de,WIN SYSTEMS INTERNATIONAL HOLDINGS INC.,US,DE
4418005,us_de,"CIGNA ONSITE HEALTH,LLC",US,DE
6602234,us_de,"SIGNIFY HEALTH, LLC",US,DE
K67041,us_fl,DLR GROUP INC.,US,FL
20161346035,us_co,"Tezoro Holdings, LLC",US,CO
D02980456,us_md,"ENTERPRISE COMMUNITY LOAN FUND, INC",US,MD
LC001681947,us_mo,"CEN Juncos Solar II, LLC",US,MO
,us_mn,DOUGHERTY & COMCANY LLC,US,MN
5457985,us_de,"CIRO E. ADAMS, CPA, LLC",US,DE
108413,us_ms,W. G. YATES & SONS CONSTRUCTION COMPANY,US,MS
4698210,us_de,ACCOUNTS RECEIVABLE AUTOMATED SOLUTIONS INC.,US,DE
7205828,us_de,MISSIONARY DISASTER RESPONSE INC.,US,DE
3735728,us_de,"TERRACON CONSULTANTS, INC.",US,DE
,us_co,"HDR ENVIRONMENTAL, OPERATIONS, AND CONSTRUCTIONS, INC.",US,CO
,us_ca,JENSEN CONSTRUCTION MANGEMENT LLC,US,CA
20021069803,us_co,"American Auto Shield, LLC",US,CO
,us_md,ROME FESTIVAL ORCHESTRA LTD INC.,US,MD
L14000048495,us_fl,"SOFTEK GROUP, LLC",US,FL
,us_de,KING' S LEAP CAPITAL LLC,US,DE
20131101456,us_co,"FPS Trust Company, LLC",US,CO
Z14124358,us_md,SAFE CHAIN SOLUTIONS LLC,US,MD
2222728,us_de,BELL TEXTRON TECHNICAL SERVICES INC.,US,DE
P15000045326,us_fl,J&P TROPICAL INC.,US,FL
5784044,us_de,"DE DIEGO VILLAGE, LLC",US,DE
5732939,us_de,270 PR UNIT 3 LLC,US,DE
P98000093816,us_fl,CSA OCEAN SCIENCES INC.,US,FL
5654102,us_de,"ASRC FEDERAL COMPUTER SOLUTIONS, INC.",US,DE
01409187,us_mo,"JHA MONEY CENTER, INC.",US,MO
2449241,us_de,"FOSSIL STORES I, INC.",US,DE
2709815,us_ny,TROON CAPITAL LLC,US,NY
P10000100169,us_fl,META PAYMENTS INC.,US,FL
,us_fl,WAVETRONIX LIMITED LIABILITY COMPANY,US,FL
5028890,us_de,"XZERTA ENERGY GROUP, LLC",US,DE
3414748,us_de,"WASTE MANAGEMENT NATIONAL SERVICES, INC.",US,DE
4722037,us_de,ONE DOT SIX LLC,US,DE
,us_mn,"DRIASI, INC.",US,MN
,us_wa,"CHAVANIAC, LLC",US,WA
4669095,us_de,"WORLDPAY, LLC",US,DE
5131227,us_de,"P&J PUERTO RICO, LLC",US,DE
5000467,us_de,STAR QUEBRADILLAS MANAGER CORP.,US,DE
200623110141,us_ca,"THE COMPANY PRODUCTIONS, LLC",US,CA
,us_nv,"WOOD GROUP POWER PLANT SERVICES, INC.",US,NV
4010638,us_de,"LANDSTAR GLOBAL LOGISTICS, INC.",US,DE
P10000034613,us_fl,"GURLEY & ASSOCIATES, P.A.",US,FL
2007098,us_de,BURLINGTON COAT FACTORY WAREHOUSE CORPORATION,US,DE
2213292,us_de,"TYLER TECHNOLOGIES, INC.",US,DE
a5d4500a-abd4-e011-a886-001ec94ffe7f,us_mn,"Diversified Adjustment Service, Incorporated",US,MN
000487828,us_tn,"Signal Energy, LLC",US,TN
3140659,us_de,"TEVA NEUROSCIENCE, INC.",US,DE
280543,us_oh,"UNITED COLLECTION BUREAU, INC.",US,OH
773589,us_de,"GROW AMERICA FUND, INC.",US,DE
5066889,us_de,"HUMACAO SOLAR PROJECT, LLC",US,DE
549716,us_de,MAC LEAN-FOGG COMPANY,US,DE
00244827,us_mo,"Conning, Inc.",US,MO
P01000121581,us_fl,"AMERIJET INTERNATIONAL, INC.",US,FL
4421056,us_de,"GLOBAL TOWER ASSETS, LLC",US,DE
2179627,us_de,VERIZON SELECT SERVICES INC.,US,DE
4168876,us_de,"DCM SERVICES, LLC",US,DE
5658483,us_de,"PTI US ASSETS II, LLC",US,DE
6177705,us_de,"SUNNOVA ASSET PORTFOLIO 9, LLC",US,DE
P12000099174,us_fl,ALLUVIONIC INC.,US,FL
20231528337,us_co,"VillaRosa-Luquillo, LLC",US,CO
00979567,us_mo,"InDebted USA, Inc.",US,MO
23415959,us_az,Skyward Solar LLC,US,AZ
D23504657,us_md,XMT SERVICES INC,US,MD
V06303,us_fl,"RECTEC, INC.",US,FL
001594544,us_ma,"GEOCOMP, INC.",US,MA
7013598,us_de,"SUNNOVA TEP 7-C, LLC",US,DE
4444635,us_de,"PLAZA CAPARRA, LLC",US,DE
6919875,us_de,ECC ENVIRONMENTAL LLC,US,DE
0804725199,us_tx,"Capital City Drug, LLC",US,TX
W06757462,us_md,"DOMINION FINANCIAL SERVICES, LLC",US,MD
6421774,us_de,"TCSC ACQUISITION, LLC",US,DE
7846339,us_de,DIVERZIFY+ LLC,US,DE
6715179,us_de,PACER STAFFING LLC,US,DE
5157788,us_ca,Exquisitive Corporation,US,CA
,us_pa,ESPONSOR LLC,US,PA
000-149-407,us_al,"Cobbs, Allen & Hall, Incorporated",US,AL
604350482,us_wa,"PALOUSE POWER, LLC",US,WA
7713402,us_de,"TZERO ATS, LLC",US,DE
0400392432,us_nj,GLOBAL PHARMA TEK LLC,US,NJ
4481391,us_de,ALCOTT HR GROUP LLC,US,DE
2005112100101,us_in,"OAKRIVER TECHNOLOGY, LLC",US,IN
0776159,us_nc,"National Aviation Services, LLC",US,NC
